"Date","Open","High","Low","Close","Volume","Adj.Close"
"2007-05-14",57.849949,59.499947,57.449951,59.429951,9474200,21.768259
"2007-05-21",59.249947,59.349945,55.069954,56.369949,11968700,20.647429
"2007-05-29",56.169949,56.88995,55.519951,56.29995,12703600,20.62179
"2007-06-04",55.519951,56.15995,53.629951,54.289951,13973900,19.885559
"2007-06-11",54.109955,55.049953,53.199955,54.719952,10799100,20.04306
"2007-06-18",54.719952,55.219952,52.799953,52.859955,12727800,19.361773
"2007-06-25",53.229954,55.49995,52.989956,53.549953,13765500,19.61451
"2007-07-02",53.989952,54.679951,53.74995,53.999954,7366100,19.779337
"2007-07-09",53.999954,54.169952,51.899956,53.239952,14846100,19.621468
"2007-07-16",53.249954,54.969948,52.699951,52.869953,14804400,19.485106
"2007-07-23",53.349953,54.899952,49.999954,50.029957,17095500,18.438431
"2007-07-30",51.449955,52.129955,49.579956,51.089954,15886500,18.82909
"2007-08-06",52.119953,56.90995,51.239952,55.219952,20272700,20.351192
"2007-08-13",55.209949,55.209949,50.779957,52.729954,15177300,19.433508
"2007-08-20",52.659954,53.209949,51.639957,52.529953,9143600,19.359798
"2007-08-27",52.319954,52.379951,50.339954,51.909954,10434600,19.1313
"2007-09-04",51.819954,53.049953,51.149956,51.859951,10253500,19.112871
"2007-09-10",51.989952,52.989956,51.269955,52.099953,9788800,19.201323
"2007-09-17",51.909954,54.719952,51.509956,54.439953,13345300,20.063725
"2007-09-24",54.209953,54.679951,53.40995,53.619949,10561600,19.761515
"2007-10-01",53.559952,56.65995,53.559952,54.99995,10859600,20.270111
"2007-10-08",55.079948,55.489948,52.379951,52.639954,14032100,19.517286
"2007-10-15",52.709953,53.079956,51.019955,51.399956,18281600,19.057533
"2007-10-22",50.899956,54.349949,50.509953,54.06995,14034800,20.047487
"2007-10-29",54.129955,55.699947,53.599953,54.04995,11487000,20.040071
"2007-11-05",54.49995,54.779949,52.949955,54.119953,11186800,20.066025
"2007-11-12",54.119953,55.469952,53.63995,55.209949,12547400,20.470163
"2007-11-19",54.859955,55.799953,54.559952,55.489948,9993800,20.573978
"2007-11-26",55.379951,58.169949,54.109955,57.509949,16112000,21.322933
"2007-12-03",57.349949,58.49995,56.559948,58.219948,10900800,21.58618
"2007-12-10",58.269951,59.479946,57.479946,57.509949,12517600,21.322933
"2007-12-17",57.449951,58.869949,56.559948,58.259949,11569300,21.601009
"2007-12-24",58.13995,58.619946,56.599949,57.22995,6351200,21.219118
"2007-12-31",56.939953,57.099949,54.99995,55.789951,11213900,20.685209
"2008-01-07",56.019947,61.089947,55.99995,60.499947,19502100,22.553478
"2008-01-14",60.859947,61.069946,58.749947,59.429951,18165700,22.1546
"2008-01-22",56.279949,60.039948,54.669949,55.479954,22106000,20.6821
"2008-01-28",55.449951,57.689949,52.88995,57.54995,18542700,21.453764
"2008-02-04",57.569946,58.49995,56.49995,56.79995,15001400,21.174175
"2008-02-11",56.899948,57.359951,55.109951,55.54995,12504400,20.708193
"2008-02-19",56.29995,56.319946,53.72995,54.539951,14670900,20.33168
"2008-02-25",54.769951,56.009949,53.229954,53.549953,9885700,19.962626
"2008-03-03",53.369953,53.519951,50.869957,51.039955,12456200,19.026936
"2008-03-10",51.189957,52.99995,50.319954,51.379955,14194200,19.153683
"2008-03-17",50.259956,55.779953,50.089954,55.65995,17080300,20.749201
"2008-03-24",55.789951,55.899952,52.949955,53.069954,11500400,19.783688
"2008-03-31",53.809956,55.399948,53.619949,54.839951,11898400,20.443516
"2008-04-07",55.129951,55.29995,52.799953,52.799953,11081500,19.815359
"2008-04-14",52.88995,52.899952,50.489956,50.719955,22952000,19.034756
"2008-04-21",50.549953,51.549953,50.089954,51.279953,21367200,19.244917
"2008-04-28",51.719955,54.299953,50.999958,53.169952,21594500,19.954216
"2008-05-05",53.249954,53.579952,50.499954,51.779953,11248600,19.432562
"2008-05-12",52.009953,55.199951,51.969952,54.709953,17114100,20.532166
"2008-05-19",54.679951,55.449951,53.999954,54.259953,9883800,20.363285
"2008-05-27",54.289951,56.65995,53.74995,56.349949,12114800,21.147642
"2008-06-02",55.839951,57.039951,54.699951,54.759953,12601500,20.55093
"2008-06-09",55.22995,55.279953,53.099953,54.109955,8690000,20.306992
"2008-06-16",53.649952,55.239952,52.99995,53.349953,11844600,20.021769
"2008-06-23",53.469952,54.529953,52.559956,52.99995,14130900,19.890417
"2008-06-30",52.969955,55.169952,52.599953,54.749954,15597100,20.547176
"2008-07-07",54.869949,57.919949,53.709953,56.429947,18992500,21.311443
"2008-07-14",56.849949,58.49995,55.079948,57.579948,21537300,21.745756
"2008-07-21",57.309948,58.729946,56.079952,57.419949,17171200,21.685329
"2008-07-28",57.179947,57.689949,55.65995,56.06995,16142200,21.175486
"2008-08-04",56.06995,59.189949,55.929951,59.029945,15481700,22.293364
"2008-08-11",59.069946,59.819946,57.619949,59.619949,10816400,22.516186
"2008-08-18",59.739948,59.739948,57.509949,58.47995,8211700,22.085651
"2008-08-25",58.369949,58.869949,57.099949,57.429951,7584100,21.689106
"2008-09-02",58.119949,59.339947,55.959949,57.009949,14556800,21.530487
"2008-09-08",58.15995,59.429951,57.159946,59.089947,14769200,22.316025
"2008-09-15",58.239948,59.949947,56.49995,58.709949,21800700,22.172512
"2008-09-22",58.359947,59.72995,56.90995,59.399948,14350400,22.4331
"2008-09-29",58.879948,59.929947,56.419952,58.509945,22133800,22.096979
"2008-10-06",57.599949,58.759949,45.749958,49.449959,30754400,18.810127
"2008-10-13",52.749954,58.239948,51.049953,55.459953,30121200,21.096252
"2008-10-20",55.919949,57.989948,51.199955,54.299953,21623500,20.655003
"2008-10-27",53.65995,55.99995,52.119953,55.149952,20460700,20.978333
"2008-11-03",55.119949,57.399948,53.369953,55.29995,15733000,21.035389
"2008-11-10",55.99995,57.329948,53.569954,55.059952,17082900,20.944098
"2008-11-17",54.319954,57.269947,48.269958,51.519955,26877900,19.597527
"2008-11-24",51.949955,52.669956,49.599957,52.389954,21819700,19.928465
"2008-12-01",51.099957,53.479954,50.009956,52.749954,16339700,20.065403
"2008-12-08",53.699955,54.019955,49.339958,50.749954,16650700,19.30463
"2008-12-15",50.899956,53.439953,50.539955,52.269951,19335500,19.882818
"2008-12-22",52.389954,53.279953,51.539951,52.509953,9848000,19.97411
"2008-12-29",53.169952,53.849953,51.549953,53.559952,11250700,20.373516
"2009-01-05",53.199955,53.479954,50.059956,51.169956,19479600,19.464394
"2009-01-12",51.319958,51.319958,48.169956,49.919956,21437400,19.126457
"2009-01-20",50.439957,53.219952,49.139957,52.809952,22940000,20.233736
"2009-01-26",53.149952,55.829948,52.349957,55.439953,25993900,21.241402
"2009-02-02",53.839951,57.38995,53.109951,57.149952,22886200,21.896574
"2009-02-09",57.199947,57.359951,54.559952,54.939953,18527300,21.049829
"2009-02-17",54.579952,54.79995,53.339951,54.029953,15711300,20.70117
"2009-02-23",53.439953,54.929951,47.23996,47.339958,24061700,18.137949
"2009-03-02",46.689957,47.859959,45.389961,46.889957,25581700,17.965536
"2009-03-09",46.449959,47.429958,44.09996,46.84996,26083400,17.950211
"2009-03-16",47.279957,49.559959,47.00996,47.539959,20728200,18.214579
"2009-03-23",48.279957,48.919956,44.749962,46.59996,29177500,17.854425
"2009-03-30",46.689957,48.799957,43.769962,44.119961,28423000,16.904232
"2009-04-06",43.859959,44.499962,42.619961,44.029961,31592400,16.869749
"2009-04-13",43.859959,45.029961,41.879963,43.889961,33488300,16.97028
"2009-04-20",43.919964,44.929958,42.009964,43.089962,23112700,16.660955
"2009-04-27",42.999962,43.859959,41.269962,41.519962,20234000,16.053905
"2009-05-04",42.369965,45.499962,42.09996,44.929958,22340900,17.372398
"2009-05-11",44.959961,46.309959,43.25996,43.319965,20418200,16.749886
"2009-05-18",43.589962,44.549961,42.749962,43.939964,17427800,16.989613
"2009-05-26",44.239964,45.119961,43.64996,45.059959,13890500,17.422665
"2009-06-01",45.299957,45.529961,44.349964,44.979961,14790500,17.391733
"2009-06-08",44.639961,45.999962,43.89996,45.41996,16796500,17.561861
"2009-06-15",45.64996,48.259956,44.219963,47.57996,23100700,18.397036
"2009-06-22",47.179958,48.369957,46.299961,47.429958,15645500,18.339037
"2009-06-29",47.589954,47.839958,45.749958,46.279961,19249300,17.894384
"2009-07-06",45.629959,46.589958,45.219959,45.409958,16510600,17.557995
"2009-07-13",45.179962,46.819958,44.199963,44.469959,27689100,17.347345
"2009-07-20",44.609959,45.389961,43.449959,45.00996,21955800,17.557995
"2009-07-27",45.129959,46.289959,44.48996,44.98996,16330500,17.550194
"2009-08-03",45.07996,45.119961,43.489964,43.839958,18891600,17.101587
"2009-08-10",43.699963,44.879963,43.509964,44.359959,17630500,17.304436
"2009-08-17",43.999962,45.999962,43.89996,45.389961,16266300,17.706228
"2009-08-24",45.729958,46.659958,45.249962,45.919956,15352900,17.912977
"2009-08-31",45.769958,46.269958,44.719959,45.629959,14499000,17.79985
"2009-09-08",45.66996,46.979958,45.249962,46.82996,17486500,18.26796
