"Date","Open","High","Low","Close","Volume","Adj.Close"
"2007-05-14",85.300003,87.32,84.419998,86.900002,4429700,67.330429
"2007-05-21",86.879997,89.029999,86.620003,87.349998,3557500,67.679092
"2007-05-29",87.169998,88.459999,86.25,88.43,3328900,68.515884
"2007-06-04",88.43,88.43,84.419998,85.940002,3249600,66.586624
"2007-06-11",85.940002,88.489998,84.400002,87.669998,3658500,67.927025
"2007-06-18",87.68,88.300003,86.120003,86.43,3090300,66.96627
"2007-06-25",86.599998,87.860001,85.769997,86.790001,2966800,67.245201
"2007-07-02",87.290001,88.809998,87.129997,88.110001,1838900,68.267944
"2007-07-09",87.970001,90.239998,87.07,90.220001,3225300,69.902779
"2007-07-16",90.629997,92.32,88.599998,90.209999,3876900,69.895027
"2007-07-23",90.610001,92,88.040001,90.050003,5067200,69.771065
"2007-07-30",90.18,90.900002,87.510002,87.559998,5024700,67.841797
"2007-08-06",87.699997,88.709999,84.760002,85.970001,5187700,66.609863
"2007-08-13",87.160004,89.110001,83.209999,87.830002,4688000,68.051003
"2007-08-20",87.550003,89.580002,87.400002,89.150002,3011600,69.450592
"2007-08-27",88.800003,91.510002,87.510002,90.989998,3319600,70.884003
"2007-09-04",90.959999,91.5,88.669998,88.919998,3125000,69.271416
"2007-09-10",89.129997,89.870003,87.209999,89.019997,3443000,69.349312
"2007-09-17",88.949997,92.5,88.739998,91.68,3867200,71.421539
"2007-09-24",91.599998,93.980003,90.330002,93.580002,3223000,72.901695
"2007-10-01",93.839996,95.919998,93.470001,95.849998,3336500,74.670097
"2007-10-08",95.75,97,93.699997,94.169998,2981500,73.36132
"2007-10-15",94.18,95.360001,86.290001,86.620003,5397400,67.479645
"2007-10-22",85.349998,87.059998,84.080002,86.129997,5686700,67.097916
"2007-10-29",86.440002,86.910004,83.150002,84.889999,4068000,66.13192
"2007-11-05",84.940002,85.690002,79.18,79.510002,5655600,61.940735
"2007-11-12",79.529999,81.919998,78.980003,81.57,4814600,63.545536
